epoch,train_loss,train_acc,val_loss,val_acc
1,1.0162327429965923,0.7806164496456238,0.24204161043687747,0.9430988081507112
2,0.2914686900808623,0.922037250700511,0.10512580657122293,0.9769319492502884
3,0.2245669074258522,0.9357178177023241,0.07253968120103975,0.9846212995001923
4,0.21334246089681982,0.9360474699192352,0.06912204287144094,0.986159169550173
5,0.19096464694869753,0.9403329487390802,0.05591070171652884,0.988081507112649
6,0.15920217214948743,0.9498928630295038,0.05534902979689366,0.9846212995001923
7,0.1807066634750778,0.9446184275589253,0.049331317915813286,0.9892349096501346
8,0.16183480801685762,0.9479149497280369,0.039380367807941026,0.9896193771626297
9,0.14699143975617757,0.9545079940662601,0.05664277009116898,0.9850057670126874
10,0.13641602992245586,0.9586286467776496,0.03602565268183974,0.9884659746251442
