epoch,train_loss,train_acc,val_loss,val_acc
1,1.5487642230806649,0.6657134164891999,0.6797987523253312,0.8232862555976576
2,0.4670836283799971,0.8755095832065714,0.5971176741890364,0.8770237685153289
3,0.3947843064260506,0.8922421661089139,0.46086643331499955,0.8846021357216672
4,0.3442232153932872,0.905749923942805,0.8700004038375362,0.8873579056148811
5,0.3070437387519802,0.9156677821721935,1.384428229498943,0.8839131932483638
6,0.2918114224412562,0.9184058411925768,0.48301539542716365,0.8904581467447468
7,0.26551346252681435,0.9253422573775479,0.5125541441839132,0.8890802617981398
8,0.2627391622090125,0.9251597201095224,0.4970208823854861,0.8945918015845676
9,0.25373874355020576,0.9272893215698205,0.5420625429670198,0.8949362728212195
10,0.25588899385637026,0.9275327045938546,0.6131666015992248,0.9063038236307268
