epoch,train_loss,train_acc,val_loss,val_acc
1,1.5877827887753104,0.6433962264150943,0.5358494595921302,0.8422321736135032
2,0.4970367425828012,0.8608642726719415,0.3785971844339216,0.884946606958319
3,0.4240154008007815,0.8798539257455873,0.38696756433717305,0.8825353083017567
4,0.3845411016341255,0.8930614729153986,0.3191763177862043,0.900792283844299
5,0.3436215857427988,0.9015824710894704,0.4779581774931572,0.8966586290044781
6,0.31738646207775933,0.9091296409007912,0.22999423649652312,0.9311057526696521
7,0.31216937085570123,0.9147900182592819,0.29439495845328745,0.9207716155700999
8,0.2913970748109359,0.9170419963481437,0.24497965842825156,0.9311057526696521
9,0.2884175624238175,0.9191722458916616,0.24958433032744715,0.9383396486393386
10,0.2752322176931578,0.9237979306147291,0.30110995926803785,0.9269720978298313
