epoch,train_loss,train_acc,val_loss,val_acc
1,0.7440301941511662,0.8198450634580517,0.11177419367697616,0.9746251441753172
2,0.2557684297722421,0.9246744684358003,0.06709769401720955,0.9830834294502114
3,0.22313391840281455,0.931432338882479,0.07731201380503501,0.9784698193002691
4,0.20492129113623186,0.9367067743530575,0.04455812637751833,0.9873125720876585
5,0.1886728139679977,0.9409922531729026,0.06486423733415782,0.9826989619377162
6,0.17793786634053838,0.942805340365914,0.03689320635982848,0.9892349096501346
7,0.16321271018517253,0.9479149497280369,0.06612814002301673,0.9869281045751634
8,0.15518606220445547,0.9508818196802373,0.022336874991778655,0.9919261822376009
9,0.1435383020655105,0.9526949068732488,0.026300454197076405,0.9911572472126106
10,0.14727854674841326,0.9523652546563376,0.048620429946312146,0.9873125720876585
