epoch,train_loss,train_acc,val_loss,val_acc
1,1.3804341011141477,0.7008406131531234,0.3302328502986489,0.9369473279507882
2,0.35782758424940864,0.9039063787703973,0.16787360997575268,0.9588619761630143
3,0.27976534001921355,0.9187407285313993,0.11092422356283883,0.9727028066128413
4,0.2580743958977492,0.9231910334597,0.09463757988656075,0.9738562091503268
5,0.2198895719171943,0.9343992088346794,0.08640200309753532,0.9727028066128413
6,0.2233442973541586,0.9304433822317455,0.06079328547142412,0.9830834294502114
7,0.19371127366627516,0.9411570792813582,0.052298977330792695,0.9857747020376778
8,0.19333335166600973,0.9403329487390802,0.03611476227915108,0.9907727797001153
9,0.18119250359503847,0.9429701664743695,0.041846005908066614,0.9884659746251442
10,0.17865746652609424,0.9429701664743695,0.032000862245296025,0.9907727797001153
