epoch,train_loss,train_acc,val_loss,val_acc
1,1.287754663825035,0.741387835833196,0.3638275719088752,0.9573241061130334
2,0.32606301103767593,0.9261579034119004,0.18844219687871816,0.9730872741253364
3,0.2369108966992874,0.9385198615460689,0.12815185029786536,0.9719338715878508
4,0.2038337210977548,0.9413219053898138,0.0855963114910282,0.988081507112649
5,0.2099426311195681,0.9378605571122466,0.0710565237933202,0.9869281045751634
6,0.17855359576397428,0.94593703642657,0.05498711577944582,0.9892349096501346
7,0.1789098699895763,0.9444536014504697,0.06769715540647711,0.986159169550173
8,0.14791992308915053,0.9568155595846382,0.050201926508434996,0.9876970396001538
9,0.14562857109979777,0.9554969507169936,0.056080831285415605,0.9842368319876971
10,0.14115178999981207,0.9551672985000824,0.05273769759102235,0.9826989619377162
