epoch,train_loss,train_acc,val_loss,val_acc
1,2.042583627865472,0.6031388770606485,0.7804822076807966,0.8232862555976576
2,0.5822187356853763,0.8658069225621996,0.5023351994721772,0.8608336203926972
3,0.4136241235070887,0.8965265527100189,0.3824407671076747,0.8890802617981398
4,0.35522025344523706,0.9064419976884238,0.3312145994751008,0.9052704099207716
5,0.3172011241382024,0.9156274712573758,0.31129665974691345,0.9045814674474681
6,0.2891236126444625,0.9214672425330008,0.30260820048195974,0.9097485359972443
7,0.2668855922343753,0.9258470709897195,0.3060673632976282,0.9059593523940751
8,0.25544289279917565,0.9296794208893485,0.2883988114849122,0.9159490182569755
9,0.24129918331265857,0.9319301660684957,0.273718477984133,0.9176713744402343
10,0.24760147185401868,0.9304702232495894,0.3045915040247664,0.9142266620737168
