epoch,train_loss,train_acc,val_loss,val_acc
1,2.050529754289393,0.5785149117468046,0.6571082408529717,0.8256975542542198
2,0.6034680918612833,0.8381618989653074,0.47885830930669554,0.8608336203926972
3,0.45063760621538423,0.8742544126597687,0.32149851929068896,0.9056148811574234
4,0.39925042892070595,0.8895313451004261,0.3379917502592594,0.9028591112642095
5,0.3672299738683473,0.898965307364577,0.3215673631108315,0.9090595935239407
6,0.3386683884884887,0.9088861838101034,0.3266696245051347,0.9004478126076473
7,0.31110015012874676,0.9132075471698113,0.28716938386563784,0.9162934894936273
8,0.29399503475591426,0.9153377967133293,0.47081082669447516,0.9097485359972443
9,0.2780994165232151,0.9222154595252586,0.27358243534095833,0.9211160868067516
10,0.26864291137539154,0.9247717589774802,0.2979325809871655,0.9228384429900104
